,Tm,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year
0,San Antonio Spurs,16.0,8.0,0.667,17,7,103.7,97.7,6.0,91.0,0.399,0.198,0.525,,0.476,14.4,28.6,0.284,,0.439,14.0,73.4,0.216,2003
1,New Jersey Nets,14.0,6.0,0.7,12,8,102.6,98.9,3.7,89.9,0.336,0.165,0.506,,0.453,14.1,30.9,0.256,,0.464,14.8,76.7,0.252,2003
2,Sacramento Kings,7.0,5.0,0.583,7,5,112.0,109.6,2.4,94.7,0.341,0.215,0.549,,0.499,12.0,29.3,0.265,,0.495,12.7,70.7,0.216,2003
3,Portland Trail Blazers,3.0,4.0,0.429,4,3,115.2,114.1,1.1,87.9,0.373,0.215,0.551,,0.501,13.0,36.3,0.28,,0.507,11.1,72.7,0.228,2003
4,Detroit Pistons,8.0,9.0,0.471,9,8,102.7,101.7,1.0,86.5,0.416,0.258,0.515,,0.455,13.3,25.5,0.308,,0.459,14.8,70.6,0.253,2003
5,Philadelphia 76ers,6.0,6.0,0.5,6,6,105.8,104.8,1.0,85.6,0.345,0.141,0.527,,0.468,14.5,31.3,0.277,,0.473,13.8,72.3,0.268,2003
6,Los Angeles Lakers,6.0,6.0,0.5,6,6,107.1,106.9,0.2,92.8,0.313,0.24,0.529,,0.491,12.7,27.9,0.222,,0.5,13.1,76.2,0.251,2003
7,Dallas Mavericks,10.0,10.0,0.5,10,10,110.5,111.1,-0.6,93.2,0.245,0.269,0.546,,0.503,11.6,25.0,0.203,,0.494,12.5,70.4,0.286,2003
8,Boston Celtics,4.0,6.0,0.4,5,5,101.4,102.1,-0.7,90.4,0.303,0.307,0.528,,0.477,14.2,20.8,0.243,,0.449,14.0,73.0,0.311,2003
9,New Orleans Hornets,2.0,4.0,0.333,3,3,106.4,108.3,-1.9,87.2,0.328,0.222,0.526,,0.479,14.2,31.5,0.244,,0.471,14.0,68.5,0.306,2003
10,Milwaukee Bucks,2.0,4.0,0.333,2,4,105.8,110.5,-4.7,90.9,0.312,0.214,0.541,,0.499,12.9,21.0,0.233,,0.494,14.7,65.3,0.306,2003
11,Phoenix Suns,2.0,4.0,0.333,2,4,91.5,97.3,-5.8,91.4,0.265,0.187,0.456,,0.414,14.8,27.8,0.189,,0.438,16.8,67.4,0.302,2003
12,Indiana Pacers,2.0,4.0,0.333,2,4,100.9,107.1,-6.2,88.8,0.418,0.227,0.496,,0.422,13.3,29.4,0.33,,0.492,12.3,79.2,0.251,2003
13,Minnesota Timberwolves,2.0,4.0,0.333,2,4,104.2,110.8,-6.6,94.8,0.319,0.173,0.544,,0.492,14.6,22.6,0.257,,0.498,10.7,70.9,0.211,2003
14,Orlando Magic,3.0,4.0,0.429,2,5,99.5,107.8,-8.3,88.0,0.357,0.223,0.517,,0.459,15.3,24.7,0.279,,0.462,13.0,69.2,0.328,2003
15,Utah Jazz,1.0,4.0,0.2,1,4,104.2,116.1,-11.9,89.2,0.386,0.087,0.511,,0.446,15.3,35.4,0.303,,0.516,12.9,65.3,0.272,2003
0,Detroit Pistons,16.0,7.0,0.696,17,6,99.3,92.0,7.3,86.1,0.359,0.182,0.493,,0.439,14.4,30.2,0.263,,0.423,15.4,74.6,0.227,2004
1,Indiana Pacers,10.0,6.0,0.625,11,5,98.9,93.7,5.2,86.5,0.33,0.237,0.497,,0.448,13.6,25.5,0.242,,0.422,15.6,74.4,0.27,2004
2,San Antonio Spurs,6.0,4.0,0.6,6,4,102.4,98.8,3.6,87.2,0.314,0.248,0.515,,0.485,15.2,30.1,0.202,,0.482,15.3,77.1,0.256,2004
3,New Jersey Nets,7.0,4.0,0.636,7,4,96.4,93.7,2.7,88.9,0.416,0.225,0.512,,0.454,17.7,26.5,0.303,,0.419,15.0,72.0,0.245,2004
4,Dallas Mavericks,1.0,4.0,0.2,3,2,103.4,102.0,1.4,96.3,0.245,0.18,0.466,,0.422,11.3,36.7,0.189,,0.481,14.7,71.6,0.204,2004
5,Los Angeles Lakers,13.0,9.0,0.591,12,10,100.8,99.8,1.0,86.6,0.375,0.207,0.508,,0.477,12.7,24.4,0.229,,0.456,14.3,72.2,0.237,2004
6,Miami Heat,6.0,7.0,0.462,7,6,97.3,97.1,0.2,86.4,0.343,0.179,0.489,,0.433,14.1,27.2,0.258,,0.445,15.8,72.8,0.257,2004
7,Sacramento Kings,7.0,5.0,0.583,6,6,101.0,100.9,0.1,93.4,0.299,0.202,0.507,,0.46,13.2,24.8,0.227,,0.447,13.4,69.3,0.208,2004
8,Minnesota Timberwolves,10.0,8.0,0.556,9,9,101.9,101.9,0.0,89.8,0.302,0.198,0.527,,0.479,14.7,24.2,0.236,,0.463,12.1,73.3,0.211,2004
9,New Orleans Hornets,3.0,4.0,0.429,3,4,92.5,95.9,-3.4,87.1,0.272,0.243,0.472,,0.422,16.7,28.5,0.212,,0.431,14.9,71.4,0.249,2004
10,Denver Nuggets,1.0,4.0,0.2,2,3,99.2,103.6,-4.4,91.4,0.193,0.149,0.479,,0.452,13.1,31.7,0.135,,0.503,15.9,75.8,0.253,2004
11,Houston Rockets,1.0,4.0,0.2,1,4,94.5,100.5,-6.0,87.7,0.306,0.204,0.501,,0.458,16.6,24.0,0.22,,0.458,10.2,77.7,0.226,2004
12,New York Knicks,0.0,4.0,0.0,0,4,90.4,104.1,-13.7,92.9,0.316,0.181,0.461,,0.411,15.1,26.3,0.228,,0.505,18.1,73.9,0.333,2004
13,Milwaukee Bucks,1.0,4.0,0.2,1,4,95.3,109.3,-14.0,89.9,0.278,0.185,0.49,,0.447,15.8,25.8,0.206,,0.494,13.3,68.3,0.24,2004
14,Memphis Grizzlies,0.0,4.0,0.0,0,4,97.1,113.4,-16.3,86.0,0.324,0.176,0.504,,0.45,14.7,23.8,0.252,,0.561,16.4,68.5,0.233,2004
15,Boston Celtics,0.0,4.0,0.0,0,4,92.1,110.4,-18.3,91.7,0.383,0.223,0.513,,0.445,19.3,23.1,0.309,,0.501,11.9,72.2,0.195,2004
0,Detroit Pistons,15.0,10.0,0.6,17,8,105.0,99.5,5.5,85.3,0.286,0.176,0.508,,0.466,12.1,29.8,0.212,,0.47,14.5,74.8,0.219,2005
1,San Antonio Spurs,16.0,7.0,0.696,15,8,110.0,105.1,4.9,87.3,0.367,0.24,0.546,,0.5,14.1,31.1,0.267,,0.471,12.1,71.4,0.218,2005
2,Miami Heat,11.0,4.0,0.733,10,5,107.2,102.5,4.7,90.2,0.409,0.211,0.568,,0.533,15.1,22.5,0.273,,0.449,11.2,73.1,0.241,2005
3,Phoenix Suns,9.0,6.0,0.6,9,6,118.2,113.8,4.4,94.1,0.304,0.233,0.582,,0.544,11.8,29.2,0.233,,0.508,11.0,68.4,0.19,2005
4,Boston Celtics,3.0,4.0,0.429,3,4,100.6,101.3,-0.7,85.9,0.306,0.2,0.52,,0.475,15.4,26.2,0.231,,0.444,15.6,73.6,0.359,2005
5,Dallas Mavericks,6.0,7.0,0.462,6,7,113.3,115.0,-1.7,92.1,0.338,0.207,0.544,,0.492,12.0,32.5,0.266,,0.525,13.0,70.1,0.251,2005
6,Chicago Bulls,2.0,4.0,0.333,3,3,106.3,108.2,-1.9,96.4,0.368,0.274,0.521,,0.472,13.4,30.0,0.266,,0.472,12.6,70.3,0.321,2005
7,Seattle Supersonics,6.0,5.0,0.545,5,6,111.1,113.0,-1.9,88.7,0.369,0.203,0.547,,0.489,13.3,33.3,0.295,,0.493,12.6,69.2,0.286,2005
8,Washington Wizards,4.0,6.0,0.4,4,6,105.6,108.2,-2.6,95.1,0.409,0.228,0.515,,0.459,12.3,28.9,0.298,,0.505,14.6,70.5,0.26,2005
9,Houston Rockets,3.0,4.0,0.429,3,4,111.7,114.9,-3.2,87.3,0.344,0.236,0.564,,0.513,14.2,27.8,0.272,,0.498,12.9,66.8,0.316,2005
10,Indiana Pacers,6.0,7.0,0.462,5,8,97.7,101.1,-3.4,85.3,0.361,0.243,0.496,,0.434,15.1,26.4,0.283,,0.463,14.4,71.6,0.235,2005
11,Sacramento Kings,1.0,4.0,0.2,2,3,113.0,117.9,-4.9,90.4,0.285,0.241,0.527,,0.479,10.3,30.4,0.227,,0.508,12.9,63.9,0.338,2005
12,Philadelphia 76ers,1.0,4.0,0.2,1,4,101.2,110.1,-8.9,87.9,0.256,0.244,0.513,,0.479,12.6,23.1,0.183,,0.512,15.7,69.6,0.26,2005
13,Denver Nuggets,1.0,4.0,0.2,1,4,97.4,108.5,-11.1,90.7,0.387,0.107,0.49,,0.431,12.4,23.1,0.285,,0.487,13.4,73.4,0.316,2005
14,Memphis Grizzlies,0.0,4.0,0.0,1,3,112.0,124.0,-12.0,91.7,0.194,0.225,0.539,,0.517,10.1,26.6,0.137,,0.57,10.6,72.5,0.301,2005
15,New Jersey Nets,0.0,4.0,0.0,1,3,100.6,113.9,-13.3,91.4,0.369,0.254,0.491,,0.432,11.7,26.5,0.277,,0.57,14.7,77.3,0.316,2005
0,Dallas Mavericks,14.0,9.0,0.609,15,8,110.2,105.7,4.5,88.9,0.35,0.188,0.54,,0.481,12.2,29.2,0.283,,0.506,14.2,77.7,0.28,2006
1,Miami Heat,16.0,7.0,0.696,15,8,106.2,102.0,4.2,90.3,0.427,0.264,0.559,,0.525,15.3,24.6,0.28,,0.47,13.8,76.6,0.265,2006
2,Los Angeles Clippers,7.0,5.0,0.583,7,5,111.6,107.7,3.9,93.1,0.331,0.148,0.571,,0.519,14.3,28.6,0.27,,0.479,10.2,75.9,0.216,2006
3,Detroit Pistons,10.0,8.0,0.556,11,7,107.9,104.2,3.7,84.9,0.382,0.249,0.528,,0.478,12.0,27.9,0.277,,0.494,14.7,72.6,0.225,2006
4,San Antonio Spurs,7.0,6.0,0.538,7,6,114.0,111.6,2.4,88.3,0.42,0.207,0.587,,0.533,13.2,22.6,0.326,,0.486,12.0,71.1,0.312,2006
5,Phoenix Suns,10.0,10.0,0.5,11,9,113.7,112.5,1.2,92.3,0.259,0.283,0.579,,0.538,11.1,19.0,0.216,,0.507,12.4,69.7,0.237,2006
6,Washington Wizards,2.0,4.0,0.333,3,3,109.4,109.2,0.2,89.8,0.424,0.244,0.545,,0.488,12.1,26.7,0.316,,0.489,14.1,68.3,0.268,2006
7,New Jersey Nets,5.0,6.0,0.455,5,6,106.5,107.6,-1.1,88.4,0.351,0.23,0.538,,0.487,12.7,24.9,0.267,,0.517,15.0,77.6,0.313,2006
8,Chicago Bulls,2.0,4.0,0.333,2,4,104.2,107.4,-3.2,94.4,0.397,0.26,0.548,,0.497,15.0,21.6,0.295,,0.514,14.7,73.2,0.261,2006
9,Cleveland Cavaliers,7.0,6.0,0.538,5,8,103.7,107.4,-3.7,85.8,0.322,0.172,0.515,,0.465,14.1,30.7,0.246,,0.48,12.6,72.1,0.284,2006
10,Indiana Pacers,2.0,4.0,0.333,2,4,103.2,107.5,-4.3,86.5,0.386,0.277,0.543,,0.491,16.1,23.1,0.289,,0.479,12.0,73.4,0.279,2006
11,Los Angeles Lakers,3.0,4.0,0.429,2,5,106.5,113.6,-7.1,91.7,0.284,0.258,0.538,,0.497,13.8,26.8,0.216,,0.543,11.5,84.7,0.251,2006
12,Denver Nuggets,1.0,4.0,0.2,1,4,95.0,103.2,-8.2,92.0,0.308,0.159,0.449,,0.397,10.8,29.2,0.224,,0.493,16.8,76.8,0.297,2006
